name,canon_percentage,fanfiction_percentage,gender
Filius Flitwick,0.0020943661550429345,0.0004931109499637418,M
Buckbeak,0.002034527122041708,0.0,M
Angelina Johnson,0.002019567363791401,0.0029603719660453013,F
Parvati Patil,0.001989647847290788,0.0011773237213667193,F
Lily Potter,0.001899889297788948,0.07964339035106427,F
Xenophilius Lovegood,0.0018550100230380281,0.000402678838032675,M
Nearly Headless Nick,0.001840050264787721,0.00011602610587382161,M
Quirinus Quirrell,0.0018250905065374144,0.00038732244166702213,M
Moaning Myrtle,0.0017802112317864946,0.0006790939726144265,F
Mr. Ollivander,0.001750291715285881,0.0002559399394275477,M
Katie Bell,0.0017353319570355744,0.003439832785906241,F
Madame Maxime,0.0016754929240343475,0.0,F
Charlie Weasley,0.0016455734075337342,0.004530136927867594,M
Lee Jordan,0.0016306136492834275,0.0006227871859403659,M
Kingsley Shacklebolt,0.0015857343745325073,0.0006586187774602226,M
Fang,0.0015707746162822009,0.0,M
Fenrir Greyback,0.0015258953415312807,0.0007985326110139488,M
Ernie Macmillan,0.001376297759028214,0.0004470417608667833,M
Pomona Sprout,0.0013463782425276007,0.0004214477669240285,F
Phineas Nigellus Black,0.0013314184842772938,0.0,M
Narcissa Malfoy,0.0013314184842772938,0.00944418376487651,F
Stan Shunpike,0.0012715794512760676,0.0,M
Aberforth Dumbledore,0.0011818209017742274,0.0005408864053235507,M
Bathilda Bagshot,0.001151901385273614,0.0,F
Colin Creevey,0.001151901385273614,0.001025466023973041,M
Amos Diggory,0.0011369416270233072,0.0,M
Firenze,0.0011219818687730006,0.0001433263660794267,M
Grawp,0.0011219818687730006,0.0,M
Marge Dursley,0.0010920623522723872,0.0,F
Cormac McLaggen,0.0010920623522723872,0.0002883589984217037,M
Gellert Grindelwald,0.0010920623522723872,0.0014656827197884231,M
Fat Lady,0.0010771025940220806,0.0,F
Salazar Slytherin,0.0010471830775214673,0.002378535170413343,M
Bob Ogden,0.001017263561020854,0.0,M
Pansy Parkinson,0.001017263561020854,0.007251631617113852,F
Marvolo Gaunt,0.001017263561020854,0.0,M
Fawkes,0.0009574245280196274,0.000252527406901847,M
Frank Bryce,0.0009424647697693203,0.0,M
Morfin Gaunt,0.0009424647697693203,0.0,M
Godric Gryffindor,0.0009424647697693203,0.0015987714882907474,M
Elphias Doge,0.0009275050115190136,0.0,M
Pigwidgeon,0.0008975854950184006,0.0,M
Mrs. Norris,0.000882625736768094,0.00016038902870792987,F
Alicia Spinnet,0.0008676659785177872,0.0007200443629228341,F
Wilhelmina Grubbly-Plank,0.0008527062202674804,0.0,F
Aunt Muriel,0.0008377464620171738,0.0,F
Yaxley,0.0008377464620171738,0.0,M
Arabella Figg,0.0008227867037668671,0.00021157701659343942,F
Regulus Black,0.0008078269455165603,0.006111845753529839,M
Madam Hooch,0.0007928671872662537,0.0004129164356097769,F
Mr. Borgin,0.0007629476707656403,0.0,M
Justin Finch-Fletchley,0.0007479879125153338,0.0004692232222838374,M
Ariana Dumbledore,0.0007479879125153338,0.0004760482873352387,F
Madam Rosmerta,0.0007330281542650271,0.00013308876850232478,F
Gregorovitch,0.0007330281542650271,0.0,M
Aragog,0.0007330281542650271,0.0,M
Marietta Edgecombe,0.0007180683960147202,0.00022352088043339164,F
Professor Binns,0.0007180683960147202,0.00010578850829671971,M
Zacharias Smith,0.0007180683960147202,0.000510173612592245,M
Blaise Zabini,0.0007031086377644138,0.006782408394830014,M
Bertha Jorkins,0.0006283098465128804,0.0,F
Travers,0.0006133500882625737,0.0,M
Marcus Flint,0.0005983903300122669,0.0011141918696412577,M
Ted Tonks,0.0005834305717619603,0.0012916435609776904,M
Barty Crouch Jr.,0.0005385512970110403,0.0011858550526809713,M
Norbert,0.0005385512970110403,0.0,F
Amelia Bones,0.0005235915387607336,0.00035319711641001577,F
Ernie Prang,0.000508631780510427,0.0,M
Antonin Dolohov,0.000508631780510427,0.00023887727679904448,M
Montague,0.0004936720222601203,0.00019622062022778646,M
Merope Gaunt,0.0004787122640098137,0.0006569125111973724,F
Nicolas Flamel,0.0004637525057595068,0.0001706266262850318,M
Mary Cattermole,0.0004637525057595068,0.0,F
Roger Davies,0.0004487927475092002,0.00016038902870792987,M
Bane,0.0004487927475092002,0.0,M
Nagini,0.0004487927475092002,0.00025423367316469736,F
Rowena Ravenclaw,0.0004188732310085869,0.0015083393763596807,F
Fluffy,0.00040391347275828016,0.0,M
Dedalus Diggle,0.00040391347275828016,0.0,M
Hepzibah Smith,0.00040391347275828016,0.0,F
Walden Macnair,0.00040391347275828016,0.0,M
Albus Severus Potter,0.00040391347275828016,0.011420040097257177,M
Errol,0.0003889537145079736,0.0,M
Broderick Bode,0.0003889537145079736,0.0,M
Michael Corner,0.0003889537145079736,0.0003446657850957642,M
Hannah Abbott,0.0003889537145079736,0.001685791067696114,F
Madam Malkin,0.0003739939562576669,0.0,F
Augustus Rookwood,0.0003739939562576669,0.0,M
Tom,0.00035903419800736023,0.0,M
Bloody Baron,0.00035903419800736023,0.0002593524719532483,M
Sturgis Podmore,0.0003440744397570535,0.0,M
Reg Cattermole,0.0003440744397570535,0.0,M
Dirk Cresswell,0.0003440744397570535,0.0,M
Padma Patil,0.0003440744397570535,0.0009998720300302864,F
Amycus Carrow,0.0003440744397570535,0.00012967623597662418,M
Sir Cadogan,0.0003440744397570535,0.0,M
Ronan,0.0003440744397570535,0.0,M
Warrington,0.00032911468150674685,0.0,M
Kendra Dumbledore,0.00032911468150674685,0.0,F
Mrs. Cole,0.0003141549232564402,0.0,F
Armando Dippet,0.0003141549232564402,0.0,M
Mr. Roberts,0.00029919516500613347,0.0,M
Leanne,0.00029919516500613347,0.0,F
Pius Thicknesse,0.00029919516500613347,0.0,M
Hokey,0.0002842354067558268,0.0,F
Madam Pince,0.0002842354067558268,0.00017915795759928336,F
Albert Runcorn,0.0002842354067558268,0.0,M
Dawlish,0.0002842354067558268,0.0,M
Griselda Marchbanks,0.00026927564850552014,0.0,F
Trevor,0.00026927564850552014,0.0,M
Tom Riddle Sr.,0.00026927564850552014,0.0006261997184660666,M
Romilda Vane,0.00026927564850552014,0.00027641513458175147,F
Magorian,0.00026927564850552014,0.0,M
Dennis Creevey,0.0002543158902552135,0.0005630678667406047,M
Millicent Bulstrode,0.0002543158902552135,0.0003856161754041719,F
Beedle the Bard,0.0002543158902552135,0.0,M
Scabior,0.0002543158902552135,0.00044021669581538204,M
Aidan Lynch,0.00023935613200490685,0.0,M
Moran,0.00023935613200490685,0.0,F
Piers Polkiss,0.00023935613200490685,0.0,M
Demelza Robins,0.00023935613200490685,0.00012114490466237255,F
Hestia Jones,0.00023935613200490685,0.00021840208164484068,F
Mafalda Hopkirk,0.00023935613200490685,0.0,F
Alecto Carrow,0.00023935613200490685,0.00022010834790769102,F
Walburga Black,0.0002243963737546001,0.0006330247835174679,F
Gabrielle Delacour,0.0002243963737546001,0.0007063942328200315,F
Bogrod,0.0002243963737546001,0.0,M
Marcus Belby,0.00020943661550429344,0.0,M
Terry Boot,0.00020943661550429344,0.0003941475067184233,M
Helga Hufflepuff,0.00020943661550429344,0.0011141918696412577,F
James Sirius Potter,0.00020943661550429344,0.007430789574713134,M
Hassan Mostafa,0.0001944768572539868,0.0,M
Adrian Pucey,0.0001944768572539868,0.00037879111035277055,M
Karkus,0.0001944768572539868,0.0,M
Professor Tofty,0.0001944768572539868,0.0,M
Wilkie Twycross,0.0001944768572539868,0.0,M
Caractacus Burke,0.0001944768572539868,0.0,M
Jimmy Peakes,0.0001944768572539868,0.00013991383355372607,M
Avery,0.0001944768572539868,0.0,M
Troy,0.00017951709900368011,0.0,M
Augusta Longbottom,0.00017951709900368011,0.00022693341295909223,F
OC,0.0,0.05600307127927314,N
Scorpius Malfoy,0.0,0.02356865588875144,M
Rose Weasley,0.0,0.01751652945442136,F
Lily Luna Potter,0.0,0.01002602056050847,F
Teddy Lupin,0.0,0.009053448790683786,M
Andromeda Tonks,0.0,0.0045352557266561426,F
Victoire Weasley,0.0,0.004069445036898008,F
Astoria Greengrass,0.0,0.004021669581538199,F
Theodore Nott,0.0,0.0033732884016550784,M
Daphne Greengrass,0.0,0.0027778014759203174,F
Marlene McKinnon,0.0,0.002554280595486925,F
Dominique Weasley,0.0,0.001955381137226464,F
Rodolphus Lestrange,0.0,0.001783048244678582,M
Alice Longbottom,0.0,0.001685791067696114,F
Hugo Weasley,0.0,0.0016482532099134069,M
Lucy Weasley,0.0,0.0014179072644286141,F
Lysander Scamander,0.0,0.0014093759331143625,M
Lorcan Scamander,0.0,0.0013445378151260507,M
Roxanne Weasley,0.0,0.0011210169346926588,F
Susan Bones,0.0,0.001078360278121401,F
Fred Weasley II,0.0,0.0010544725504414963,M
Frank Longbottom,0.0,0.0009606279059847287,M
Louis Weasley,0.0,0.0008155952736424518,M
Molly Weasley II,0.0,0.0008138890073796016,F
Sorting Hat,0.0,0.0007285756942370856,N
Rabastan Lestrange,0.0,0.0006756814400887258,M
Audrey Weasley,0.0,0.0006381435823060187,F
Dorcas Meadowes,0.0,0.0004999360150151432,F
Eileen Prince,0.0,0.0004743420210723884,F
Penelope Clearwater,0.0,0.0004709294885466877,F
Helena Ravenclaw,0.0,0.0004658106897581368,F
Rolf Scamander,0.0,0.00043509789702683103,M
Abraxas Malfoy,0.0,0.0004180352343983279,M
Tracey Davis,0.0,0.0004129164356097769,F
Orion Black,0.0,0.00037879111035277055,M
Emmeline Vance,0.0,0.00037708484408992016,F
Mary Macdonald,0.0,0.00033954698630721323,F
Fabian Prewett,0.0,0.000332721921255812,M
Gideon Prewett,0.0,0.000332721921255812,M
Aurora Sinistra,0.0,0.0002985965959988057,F
Newt Scamander,0.0,0.0002934777972102547,M
Tobias Snape,0.0,0.0002712963357932005,M
Druella Black,0.0,0.00026617753700464955,F
Mr. Granger,0.0,0.00026617753700464955,M
Anthony Goldstein,0.0,0.00026447127074179927,M
Evan Rosier,0.0,0.0002491148743761464,M
Cygnus Black,0.0,0.00019280808770208592,M
Dementors,0.0,0.0001723328925478821,N
Alphard Black,0.0,0.00016721409375933114,M
Dorea Black Potter,0.0,0.00016380156123363052,F
Mrs. Lovegood,0.0,0.00016209529497078018,F
Mirror of Erised,0.0,0.00016209529497078018,N
Lisa Turpin,0.0,0.00015527022991937894,F
Charlus Potter,0.0,0.00014844516486797765,M
Phineas Nigellus,0.0,0.0001262637034509235,M
Terence Higgs,0.0,0.0001228511709252229,M
Giant Squid,0.0,0.00011773237213667192,N
Charity Burbage,0.0,0.00011773237213667192,F
Merlin,0.0,0.00011602610587382161,M
Cedrella Weasley Black,0.0,0.00011431983961097128,F
Lyall Lupin,0.0,0.00011090730708527062,M
Fay Dunbar,0.0,0.00011090730708527062,F
Benjy Fenwick,0.0,0.00011090730708527062,M
Basilisk,0.0,0.00011090730708527062,N
Eloise Midgen,0.0,0.00010920104082242034,F
Mrs. Zabini,0.0,0.00010408224203386938,F
Marius Black,0.0,9.725717698246812e-05,M
Ignotus Peverell,0.0,9.725717698246812e-05,M
